2353
Grain_ID,Active,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumNeighbors,Omega3s,ParentIds,Phases,SurfaceFields,Volumes
22,1,0.750245,0.663128,0.0631787,-0.191221,-0.236731,0.950474,4.73088,2.2396,3.14159,1.90253,1.42736,1.26162,28.7682,39.6369,22.7386,2.97236,4.78739,0.405549,1.00759,880,17,0.807417,563,1,0,13.75
23,1,0.862469,0.488076,-0.0692445,-0.190212,-0.126878,0.971044,5.45432,1.23786,2.19947,1.62973,1.40559,0.79543,6.44176,32.6352,11.067,2.38567,4.23334,0.407665,1.79,455,13,0.701196,235,1,0,7.10938
24,1,0.628181,0.430913,0.236158,-0.250396,0.146261,0.927437,5.10768,1.83298,4.69651,2.67606,1.68105,1.15315,25.615,32.4877,27.4228,3.14156,5.62495,0.702757,0.97107,1039,17,0.232763,1972,1,1,16.2344
25,1,0.744724,0.53809,-0.122031,-0.346091,-0.13141,0.920902,1.39684,2.0112,3.42152,1.45382,1.0827,0.782288,28.2884,42.2042,22.5417,2.09017,4.23166,0.751509,1.76804,306,10,0.684449,459,1,0,4.78125
26,1,0.66483,0.548,0.19913,-0.0431476,0.360548,0.910215,2.09217,0.857481,0.464837,2.16786,1.44126,1.18799,34.4984,40.1568,14.8788,3.05451,0.163769,0.410375,0.590533,955,19,0.814243,508,1,0,14.9219
27,1,0.581523,0.451029,-0.223431,0.330876,-0.0775233,0.913559,5.44618,2.10144,2.27349,1.91029,1.11088,0.861594,26.3216,38.9818,0.601496,2.40818,2.08008,0.821398,4.0338,468,16,0.793508,2183,1,1,7.3125
28,1,0.709656,0.365824,0.285814,-0.237316,0.214452,0.903328,3.15095,2.92559,4.78309,2.58577,1.83501,0.945937,31.3814,8.496,26.0749,3.16457,5.82332,0.761237,0.926043,1062,14,0.535586,2557,1,0,16.5938
29,1,0.554443,0.29636,-0.129478,0.11222,0.299543,0.938571,4.70791,2.08917,5.10383,1.7746,0.983912,0.525918,43.3907,35.1407,16.4523,1.85818,2.73641,0.344383,4.16464,215,6,0.508133,766,1,0,3.35938
30,1,0.657056,0.308881,-0.020868,-0.321283,-0.0191192,0.94656,2.71852,0.694355,5.99109,3.37962,2.2206,1.0439,25.6446,22.8976,13.5425,3.86449,4.62733,0.655597,1.61546,1934,19,0.66215,911,1,0,30.2188
31,1,0.680887,0.241188,0.0980252,-0.0562704,-0.121315,0.986158,4.41916,0.832525,2.15758,2.03948,1.38866,0.491898,19.5126,10.4643,19.6086,2.15635,5.63967,0.226539,0.39871,336,10,0.5894,2340,1,0,5.25
32,1,0.758964,0.537041,-0.101234,0.0329977,0.11006,0.988205,4.40836,0.952051,1.58718,1.19033,0.903419,0.639257,22.6603,42.55,0.675,1.71826,2.93742,0.213358,3.5676,170,6,0.667938,375,1,1,2.65625
33,1,0.720981,0.353279,0.10036,0.240036,-0.279916,0.924098,0.0767513,3.0421,1.34735,1.81964,1.31193,0.642841,7.50464,39.4211,0.322944,2.24072,0.880661,0.526399,4.81428,377,6,0.646212,761,1,1,5.89062
34,1,0.78009,0.621944,0.2933,0.327432,-0.108035,0.891679,1.52555,1.61136,3.20888,1.78743,1.39436,1.11168,6.91679,36.8764,12.0418,2.74617,0.719758,0.910278,5.32228,694,15,0.7121,1678,1,0,10.8438
35,1,0.619985,0.501166,-0.0564669,-0.16875,-0.115695,0.977215,2.81154,2.34194,2.99227,1.29006,0.799814,0.646531,5.47468,43.1044,28.1155,1.67684,4.27164,0.357799,1.77586,158,3,0.538281,1936,1,1,2.46875
36,1,0.607959,0.285479,0.356798,0.0289758,0.167677,0.918553,1.78972,3.01443,6.28319,4.49927,2.73537,1.28445,41.9641,11.0233,14.6278,4.80389,0.26159,0.73219,0.099524,3715,27,0.517704,558,1,0,58.0469
37,1,0.524725,0.283643,0.120051,0.180543,-0.172519,0.960848,5.16415,2.94314,0,2.32522,1.2201,0.659532,13.4582,2.01844,0.711497,2.39611,0.806332,0.437098,5.12154,461,12,0.655669,989,1,1,7.20312
38,1,0.797642,0.723415,0.289635,0.296227,0.0857498,0.906095,4.46929,1.18162,1.90666,2.38001,1.89839,1.72173,34.9372,7.61551,9.27135,3.90927,0.891005,0.854333,5.58089,2002,17,0.815319,530,1,0,31.2812
39,1,0.769752,0.559689,-0.0671789,-0.000589198,-0.095942,0.993117,1.2892,2.89973,6.28319,1.1057,0.851115,0.618848,33.3504,14.3631,0.328467,1.599,3.05405,0.134463,3.03651,137,6,0.520253,1910,1,1,2.14062
40,1,0.587808,0.413591,-0.091319,0.203964,0.260128,0.939358,3.67793,0.678415,4.40934,2.24776,1.32125,0.929656,35.0203,14.1196,23.5221,2.74088,2.26191,0.450753,4.56158,690,13,0.704058,102,1,0,10.7812
41,1,0.602004,0.456875,0.294834,-0.283926,-0.0161977,0.912248,1.95982,0.877678,0,2.37406,1.4292,1.08465,8.37626,40.1532,5.59512,2.98469,5.49888,0.843412,0.748799,891,19,0.600719,2405,1,0,13.9219
42,1,0.930689,0.744028,0.326554,-0.00210988,-0.335027,0.883807,1.31276,0.869264,4.02013,1.75697,1.63519,1.30724,39.1456,17.7179,20.7883,2.93589,5.91439,0.665325,5.92731,848,16,0.423832,102,1,0,13.25
43,1,0.772996,0.723119,0.116988,-0.00649964,0.30219,0.946019,1.36971,1.73017,3.14159,1.38248,1.06865,0.9997,19.6595,30.0101,25.2419,2.22676,0.253688,0.234875,0.36469,370,14,0.712578,924,1,0,5.78125
44,1,0.612631,0.18685,0.209251,-0.0196929,0.0604286,0.975794,5.47074,2.80355,3.14159,3.2612,1.99791,0.609356,7.91944,8.59945,14.3152,3.0945,6.2512,0.423509,0.155684,993,12,0.706756,489,1,0,15.5156
45,1,0.383448,0.237679,0.174107,-0.0264478,-0.322778,0.929947,3.22544,1.75336,3.49477,2.82571,1.08351,0.671611,34,1.13281,1.19896,2.42859,5.79835,0.354055,6.09986,480,11,0.500565,1508,1,1,7.5
46,1,0.806697,0.693385,-0.256418,0.048851,-0.198608,0.944679,0.574986,0.864457,4.4791,2.69947,2.17765,1.87177,36.5133,34.1771,5.35383,4.38063,2.74612,0.528179,3.12263,2817,22,0.794317,1421,1,0,44.0156
47,1,0.673184,0.257864,-0.0894633,0.157678,0.213496,0.959976,0.20191,1.84698,5.34146,2.67933,1.80368,0.690902,37.5358,39.7035,4.10098,2.89966,2.30572,0.364597,4.41514,817,18,0.633516,1960,1,0,12.7656
48,1,0.408165,0.280604,-0.270714,-0.236482,0.187448,0.914141,2.19924,2.47259,3.14159,3.0816,1.2578,0.864711,3.88198,41.6444,3.95085,2.90792,4.06185,0.735373,2.62584,824,12,0.648622,162,1,0,12.875
49,1,0.501358,0.29146,-0.18896,0.197651,-0.283219,0.919247,4.75285,1.47396,4.43675,2.62758,1.31736,0.765832,40.2249,45.3985,2.65471,2.6841,2.03485,0.553944,3.6506,648,10,0.630332,1788,1,0,10.125
50,1,0.913185,0.555028,-0.214127,0.0454872,-0.0798629,0.972472,5.47832,1.68224,5.5764,5.05411,4.61534,2.80517,23.3243,20.4546,19.7157,7.93824,2.85033,0.441383,3.26897,16763,40,0.796845,2029,1,0,261.922
51,1,0.918836,0.497735,0.0127435,0.200857,-0.101519,0.974263,5.12962,2.28628,4.20423,2.14039,1.96667,1.06535,11.3508,1.84539,1.22016,3.20769,1.40361,0.40529,4.67192,1106,17,0.658952,284,1,1,17.2812
52,1,0.879756,0.468371,-0.217028,-0.324224,0.165274,0.905794,4.34545,1.88541,0,1.16752,1.02713,0.546833,16.5158,29.5253,25.7231,1.67684,4.30299,0.801603,2.34115,158,10,0.586419,11,1,0,2.46875
53,1,0.864217,0.587899,-0.185866,-0.184423,-0.352671,0.898368,3.63304,0.48482,4.47192,3.11046,2.68811,1.82864,13.1245,14.3947,3.21079,4.90684,3.54901,0.529848,1.98601,3959,36,0.840583,1287,1,0,61.8594
54,1,0.656964,0.413423,0.244088,0.222927,0.056649,0.94208,2.15862,1.39671,1.9368,1.18695,0.779783,0.490713,4.86298,43.9375,11.1803,1.45865,0.800177,0.673813,5.60313,104,5,0.454627,1390,1,0,1.625
55,1,0.814952,0.480307,-0.296795,-0.0878385,0.332814,0.890748,4.81287,1.56644,5.10864,1.14151,0.930276,0.548276,36.3542,28.8333,11.0903,1.62578,3.78691,0.629378,3.21142,144,11,0.66837,438,1,0,2.25
